"flex href","_1cnjm src","box-border","line-clamp-[--maxLines]","flex","box-border 2","inline-flex","relative","relative 2","relative 3","relative 4","text-caption"
"https://www.leboncoin.fr/ad/voitures/2824691470","","","Peugeot 108 style","7 490 €","Pack Sérénité","202050000 kmEssenceManuelle","2020","50000 km","Essence","Manuelle","Cagnes-sur-Mer 06800"
"https://www.leboncoin.fr/ad/voitures/2826423244","","Pro","Twingo 1L essence 4 places","7 500 €","","202018000 kmEssenceManuelle","2020","18000 km","Essence","Manuelle","La Cerlangue 76430"
"https://www.leboncoin.fr/ad/voitures/2830678364","","","Mitsubishi","7 600 €","Pack Sérénité","202045000 kmEssenceManuelle","2020","45000 km","Essence","Manuelle","Pamiers 09100"
"https://www.leboncoin.fr/ad/voitures/2769226159","","","Peugeot 108","7 600 €","Pack Sérénité","202058838 kmEssenceManuelle","2020","58838 km","Essence","Manuelle","Meaux 77100"
"https://www.leboncoin.fr/ad/voitures/2803977403","","","Twingo 3","","Pack Sérénité","202073100 kmEssenceManuelle","2020","73100 km","Essence","Manuelle","Rouen 76000"
"https://www.leboncoin.fr/ad/voitures/2781116296","","Pro","Fiat 500 phase 3 1.0 BSG 12V 69cv avec toit panoramique et gps tactile avec 50000Km","7 790 €","","202050000 kmEssenceManuelle","2020","50000 km","Essence","Manuelle","Lys-lez-Lannoy 59390"
"https://www.leboncoin.fr/ad/voitures/2836139979","","","Clio 5 société 1.5 dci 75","7 800 €","Pack Sérénité","2020165000 kmDieselManuelle","2020","165000 km","Diesel","Manuelle","Montbartier 82700"
"https://www.leboncoin.fr/ad/voitures/2743388396","","","Renault twingo 1.0 65 sce zen 2021","7 800 €","Pack Sérénité","202170676 kmEssenceManuelle","2021","70676 km","Essence","Manuelle","Paris 75013 13e Arrondissement"
"https://www.leboncoin.fr/ad/voitures/2833072189","","Déjà Vu","Citroën C3 C-Series 11000km car play","7 900 €","Pack Sérénité","202111000 kmEssenceManuelle","2021","11000 km","Essence","Manuelle","Vitry-sur-Seine 94400"
"https://www.leboncoin.fr/ad/voitures/2755532212","","","Twingo 3 sce 65 zen","7 900 €","Pack Sérénité","202053771 kmEssenceManuelle","2020","53771 km","Essence","Manuelle","Taverny 95150"
"https://www.leboncoin.fr/ad/voitures/2831210805","","","Fiat Panda","7 950 €","Pack Sérénité","202038400 kmEssenceManuelle","2020","38400 km","Essence","Manuelle","Châteauneuf-les-Martigues 13220"
"https://www.leboncoin.fr/ad/voitures/2790356561","","Pro","PEUGEOT 108 1.0i VTi 72 S&S STYLE","7 950 €","","202090888 kmEssenceManuelle","2020","90888 km","Essence","Manuelle","Petit-Mars 44390"
"https://www.leboncoin.fr/ad/voitures/2430861120","","Pro","Renault twingo zen sce 70 clim bluetooth tva","","","202048250 kmEssenceManuelle","2020","48250 km","Essence","Manuelle","Paris 75012 12e Arrondissement"
"https://www.leboncoin.fr/ad/voitures/2770121182","","Pro","RENAULT TWINGO 1.0i SCe 75CH","","","202066827 kmEssenceManuelle","2020","66827 km","Essence","Manuelle","Montpellier 34070 Prés d'Arènes"
"https://www.leboncoin.fr/ad/voitures/2794346603","","Pro","Renault twingo iii sce 75 finition zen","7 990 €","","202055280 kmEssenceManuelle","2020","55280 km","Essence","Manuelle","Neuvillette 80600"
